configId,state,year,regime,startDate,endDate,durationDays,maxDamageState,maxDrawdownPct,maxVarLossPct,maxEwmaPct,minDailyReturnPct
v04b_actionable_stress_recommended,watch,2021,Bull market,2021-12-20,2021-12-27,8,stress,-29.250948,5.903036,3.482019,-0.954881
v04b_actionable_stress_recommended,stress,2021,Bull market,2021-12-28,2021-12-30,3,stress,-26.81069,5.528352,3.128277,-3.916806
v04b_actionable_stress_recommended,normal,2022,Bear market,2022-01-07,2022-01-23,17,normal,-19.664794,,3.629198,-11.519976
v04b_actionable_stress_recommended,watch,2022,Bear market,2022-01-24,2022-01-24,1,watch,-22.868191,,3.589704,-4.527624
v04b_actionable_stress_recommended,normal,2022,Bear market,2022-01-25,2022-01-26,2,normal,-16.878394,,4.052046,5.215027
v04b_actionable_stress_recommended,watch,2022,Bear market,2022-01-27,2022-02-14,19,stress,-15.75674,,4.069811,-3.674014
v04b_actionable_stress_recommended,normal,2022,Bear market,2022-02-15,2022-03-07,21,normal,-19.088904,7.912703,3.694476,-7.922967
v04b_actionable_stress_recommended,watch,2022,Bear market,2022-03-08,2022-05-07,61,stress,-19.43039,7.912703,4.077771,-6.539224
v04b_actionable_stress_recommended,stress,2022,Bear market,2022-05-08,2022-05-26,19,stress,-36.480977,4.65018,4.096002,-10.931748
v04b_actionable_stress_recommended,watch,2022,Bear market,2022-05-27,2022-06-02,7,stress,,4.65018,3.385891,
v04b_actionable_stress_recommended,stress,2022,Bear market,2022-06-03,2022-06-23,21,stress,-56.749462,8.593602,4.693772,-13.322949
v04b_actionable_stress_recommended,watch,2022,Bear market,2022-06-24,2022-07-07,14,stress,,5.529357,4.327759,
v04b_actionable_stress_recommended,stress,2022,Bear market,2022-07-08,2022-07-28,21,stress,-56.282302,5.529357,4.327759,-4.179455
v04b_actionable_stress_recommended,watch,2022,Bear market,2022-07-29,2022-08-04,7,stress,,5.529357,3.540733,
v04b_actionable_stress_recommended,stress,2022,Bear market,2022-08-05,2022-08-25,21,stress,-51.980278,5.529357,3.556105,-9.712549
v04b_actionable_stress_recommended,watch,2022,Bear market,2022-08-26,2022-09-08,14,stress,,3.63464,2.986889,
v04b_actionable_stress_recommended,stress,2022,Bear market,2022-09-09,2022-09-29,21,stress,-58.048237,4.034826,2.986889,-3.858058
v04b_actionable_stress_recommended,watch,2022,Bear market,2022-09-30,2022-10-06,7,stress,,3.814857,2.425679,
v04b_actionable_stress_recommended,stress,2022,Bear market,2022-10-07,2022-10-27,21,stress,-58.190384,3.814857,2.629271,-3.703397
v04b_actionable_stress_recommended,watch,2022,Bear market,2022-10-28,2022-11-03,7,stress,,3.138579,2.056154,
v04b_actionable_stress_recommended,stress,2022,Bear market,2022-11-04,2022-11-24,21,crisis,-63.424948,5.451927,3.290223,-9.138438
v04b_actionable_stress_recommended,watch,2022,Bear market,2022-11-25,2022-12-08,14,stress,,5.451927,2.394545,
v04b_actionable_stress_recommended,stress,2022,Bear market,2022-12-09,2022-12-29,21,crisis,-62.214517,5.451927,2.394545,-2.800323
v04b_actionable_stress_recommended,normal,2023,Recovery,2023-01-06,2023-03-12,66,normal,-18.902711,3.403368,2.649188,-8.948255
v04b_actionable_stress_recommended,watch,2023,Recovery,2023-03-13,2023-03-16,4,watch,-17.59483,4.233107,2.987976,-3.764706
v04b_actionable_stress_recommended,normal,2023,Recovery,2023-03-17,2023-05-04,49,normal,-10.360898,4.233107,5.720382,-3.209425
v04b_actionable_stress_recommended,watch,2023,Recovery,2023-05-05,2023-06-28,55,stress,-17.579313,3.529521,3.389421,-3.747493
v04b_actionable_stress_recommended,normal,2023,Recovery,2023-06-29,2023-08-03,36,normal,-6.132515,3.023049,2.610465,-2.360764
v04b_actionable_stress_recommended,watch,2023,Recovery,2023-08-04,2023-11-02,91,stress,-17.521855,2.461015,2.365425,-8.027079
v04b_actionable_stress_recommended,normal,2023,Recovery,2023-11-03,2023-12-28,56,normal,-4.658308,2.42041,1.700475,-3.626304
v04b_actionable_stress_recommended,normal,2024,ETF/Bull,2024-01-05,2024-01-24,20,normal,-15.374203,,2.1947,-4.982989
v04b_actionable_stress_recommended,watch,2024,ETF/Bull,2024-01-25,2024-02-08,15,watch,-12.67505,,2.129503,0.343406
v04b_actionable_stress_recommended,normal,2024,ETF/Bull,2024-02-09,2024-03-27,48,normal,-10.843526,4.959088,2.695495,-5.614032
v04b_actionable_stress_recommended,watch,2024,ETF/Bull,2024-03-28,2024-06-06,71,stress,-14.640039,4.959088,2.577754,-4.59054
v04b_actionable_stress_recommended,normal,2024,ETF/Bull,2024-06-07,2024-06-20,14,normal,-8.503374,2.442482,1.995059,-3.403293
v04b_actionable_stress_recommended,watch,2024,ETF/Bull,2024-06-21,2024-07-04,14,watch,-13.585606,3.193074,1.909134,-3.767477
v04b_actionable_stress_recommended,stress,2024,ETF/Bull,2024-07-05,2024-07-05,1,stress,-22.322262,3.193074,1.76467,
v04b_actionable_stress_recommended,watch,2024,ETF/Bull,2024-07-06,2024-11-07,125,stress,-23.419236,3.439946,2.289569,-4.222651
v04b_actionable_stress_recommended,normal,2024,ETF/Bull,2024-11-08,2024-12-26,49,normal,-10.212435,3.391634,3.355019,-6.247014
