date,symbol,fundingRateTimestamp,fundingRate
2020-07-13,BTCUSDT,1594656000000,0.0001
2020-07-14,BTCUSDT,1594684800000,0.0001
2020-07-14,BTCUSDT,1594713600000,0.0001
2020-07-14,BTCUSDT,1594742400000,0.0001
2020-07-15,BTCUSDT,1594771200000,0.0001
2020-07-15,BTCUSDT,1594800000000,0.0001
2020-07-15,BTCUSDT,1594828800000,0.0001
2020-07-16,BTCUSDT,1594857600000,0.00009621
2020-07-16,BTCUSDT,1594886400000,0.0001
2020-07-16,BTCUSDT,1594915200000,0.0001
2020-07-17,BTCUSDT,1594944000000,0.0001
2020-07-17,BTCUSDT,1594972800000,0.0001
2020-07-17,BTCUSDT,1595001600000,0.0001
2020-07-18,BTCUSDT,1595030400000,0.0001
2020-07-18,BTCUSDT,1595059200000,0.00005543
2020-07-18,BTCUSDT,1595088000000,0.0001
2020-07-19,BTCUSDT,1595116800000,0.0001
2020-07-19,BTCUSDT,1595145600000,0.0001
2020-07-19,BTCUSDT,1595174400000,0.0001
2020-07-20,BTCUSDT,1595203200000,0.0001
2020-07-20,BTCUSDT,1595232000000,0.0001
2020-07-20,BTCUSDT,1595260800000,0.0001
2020-07-21,BTCUSDT,1595289600000,0.0001
2020-07-21,BTCUSDT,1595318400000,0.0001
2020-07-21,BTCUSDT,1595347200000,0.00007691
2020-07-22,BTCUSDT,1595376000000,0.0001
2020-07-22,BTCUSDT,1595404800000,-0.00020699
2020-07-22,BTCUSDT,1595433600000,-0.00018507
2020-07-23,BTCUSDT,1595462400000,0.0001
2020-07-23,BTCUSDT,1595491200000,0.00008454
2020-07-23,BTCUSDT,1595520000000,0.00009443
2020-07-24,BTCUSDT,1595548800000,-0.00006765
2020-07-24,BTCUSDT,1595577600000,0.0000492
2020-07-24,BTCUSDT,1595606400000,0.0001
2020-07-25,BTCUSDT,1595635200000,0.0001
2020-07-25,BTCUSDT,1595664000000,0.0001
2020-07-25,BTCUSDT,1595692800000,0.0001
2020-07-26,BTCUSDT,1595721600000,0.00007786
2020-07-26,BTCUSDT,1595750400000,-0.00015259
2020-07-26,BTCUSDT,1595779200000,-0.00013979
2020-07-27,BTCUSDT,1595808000000,0.0001
2020-07-27,BTCUSDT,1595836800000,0.0001
2020-07-27,BTCUSDT,1595865600000,0.0001
2020-07-28,BTCUSDT,1595894400000,0.0001
2020-07-28,BTCUSDT,1595923200000,0.0001
2020-07-28,BTCUSDT,1595952000000,0.0001
2020-07-29,BTCUSDT,1595980800000,0.0001
2020-07-29,BTCUSDT,1596009600000,0.0001
2020-07-29,BTCUSDT,1596038400000,0.0001
2020-07-30,BTCUSDT,1596067200000,0.0001
2020-07-30,BTCUSDT,1596096000000,0.0001
2020-07-30,BTCUSDT,1596124800000,0.0001
2020-07-31,BTCUSDT,1596153600000,0.0001
2020-07-31,BTCUSDT,1596182400000,0.0001
2020-07-31,BTCUSDT,1596211200000,0.0001
2020-08-01,BTCUSDT,1596240000000,0.0001
2020-08-01,BTCUSDT,1596268800000,0.0001
2020-08-01,BTCUSDT,1596297600000,0.0001
2020-08-02,BTCUSDT,1596326400000,0.0001
